Jun 25 02:03:19 astra kernel: [24435.265564] nfs: server 192.168.57.11 not responding, timed out
Jun 25 02:03:25 astra kernel: [24441.401648] nfs: server 192.168.57.11 not responding, timed out
Jun 25 02:06:27 astra kernel: [24622.905336] nfs: server 192.168.57.11 not responding, timed out
Jun 25 02:06:39 astra kernel: [24635.195016] nfs: server 192.168.57.11 not responding, timed out
Jun 25 02:09:40 astra kernel: [24816.700432] nfs: server 192.168.57.11 not responding, timed out
Jun 25 02:09:46 astra kernel: [24822.841038] nfs: server 192.168.57.11 not responding, timed out
Jun 25 02:12:51 astra kernel: [25007.161156] nfs: server 192.168.57.11 not responding, timed out
Jun 25 02:12:51 astra kernel: [25007.161206] nfs: server 192.168.57.11 not responding, timed out
Jun 25 02:15:52 astra kernel: [25188.409325] nfs: server 192.168.57.11 not responding, timed out
Jun 25 02:15:52 astra kernel: [25188.409335] nfs: server 192.168.57.11 not responding, timed out
Jun 25 02:18:53 astra kernel: [25369.656806] nfs: server 192.168.57.11 not responding, timed out
Jun 25 02:18:53 astra kernel: [25369.656816] nfs: server 192.168.57.11 not responding, timed out
Jun 25 02:21:56 astra kernel: [25551.929952] nfs: server 192.168.57.11 not responding, timed out
Jun 25 02:21:56 astra kernel: [25551.929962] nfs: server 192.168.57.11 not responding, timed out
Jun 25 02:25:01 astra kernel: [25737.017927] nfs: server 192.168.57.11 not responding, timed out
Jun 25 02:25:07 astra kernel: [25743.161819] nfs: server 192.168.57.11 not responding, timed out
Jun 25 02:28:12 astra kernel: [25928.660532] nfs: server 192.168.57.11 not responding, timed out
Jun 25 02:28:19 astra kernel: [25934.961699] nfs: server 192.168.57.11 not responding, timed out
Jun 25 02:31:23 astra kernel: [26119.475760] nfs: server 192.168.57.11 not responding, timed out
Jun 25 02:31:23 astra kernel: [26119.475771] nfs: server 192.168.57.11 not responding, timed out
Jun 25 02:34:25 astra kernel: [26301.481817] nfs: server 192.168.57.11 not responding, timed out
Jun 25 02:34:34 astra kernel: [26310.684701] nfs: server 192.168.57.11 not responding, timed out
Jun 25 02:37:36 astra kernel: [26492.442550] nfs: server 192.168.57.11 not responding, timed out
Jun 25 02:37:42 astra kernel: [26498.586868] nfs: server 192.168.57.11 not responding, timed out
Jun 25 02:40:47 astra kernel: [26683.163659] nfs: server 192.168.57.11 not responding, timed out
Jun 25 02:40:53 astra kernel: [26689.306904] nfs: server 192.168.57.11 not responding, timed out
Jun 25 02:43:55 astra kernel: [26871.397967] nfs: server 192.168.57.11 not responding, timed out
Jun 25 02:44:01 astra kernel: [26877.542361] nfs: server 192.168.57.11 not responding, timed out
Jun 25 02:47:04 astra kernel: [27060.293701] nfs: server 192.168.57.11 not responding, timed out
Jun 25 02:47:04 astra kernel: [27060.293711] nfs: server 192.168.57.11 not responding, timed out
Jun 25 02:50:04 astra kernel: [27240.728171] nfs: server 192.168.57.11 not responding, timed out
Jun 25 02:50:11 astra kernel: [27246.876890] nfs: server 192.168.57.11 not responding, timed out
Jun 25 02:53:12 astra kernel: [27428.376541] nfs: server 192.168.57.11 not responding, timed out
Jun 25 02:53:18 astra kernel: [27434.551713] nfs: server 192.168.57.11 not responding, timed out
Jun 25 02:56:21 astra kernel: [27617.630082] nfs: server 192.168.57.11 not responding, timed out
Jun 25 02:56:21 astra kernel: [27617.630090] nfs: server 192.168.57.11 not responding, timed out
Jun 25 02:59:26 astra kernel: [27802.430288] nfs: server 192.168.57.11 not responding, timed out
Jun 25 02:59:32 astra kernel: [27808.577157] nfs: server 192.168.57.11 not responding, timed out
Jun 25 03:02:34 astra kernel: [27990.290027] nfs: server 192.168.57.11 not responding, timed out
Jun 25 03:02:34 astra kernel: [27990.290036] nfs: server 192.168.57.11 not responding, timed out
Jun 25 03:05:35 astra kernel: [28171.537937] nfs: server 192.168.57.11 not responding, timed out
Jun 25 03:05:35 astra kernel: [28171.537984] nfs: server 192.168.57.11 not responding, timed out
Jun 25 03:08:37 astra kernel: [28353.297917] nfs: server 192.168.57.11 not responding, timed out
Jun 25 03:08:37 astra kernel: [28353.297927] nfs: server 192.168.57.11 not responding, timed out
Jun 25 03:11:42 astra kernel: [28538.129974] nfs: server 192.168.57.11 not responding, timed out
Jun 25 03:11:42 astra kernel: [28538.129984] nfs: server 192.168.57.11 not responding, timed out
Jun 25 03:14:43 astra kernel: [28719.378999] nfs: server 192.168.57.11 not responding, timed out
Jun 25 03:14:43 astra kernel: [28719.379040] nfs: server 192.168.57.11 not responding, timed out
Jun 25 03:17:44 astra kernel: [28900.625343] nfs: server 192.168.57.11 not responding, timed out
Jun 25 03:17:44 astra kernel: [28900.625354] nfs: server 192.168.57.11 not responding, timed out
